,State,Employment,"Employment per 1,000 Jobs",Annual Median Wage,Annual 10th Percentile Wage,Annual 25th Percentile Wage,Annual 75th Percentile Wage,Annual 90th Percentile Wage,Location Quotient
0,Alabama,         210,       0.113,       90590,       56510,       74460,      105650,      121870,        0.26
1,Alaska,         170,       0.561,       74110,       53720,       61780,       90980,      103100,        1.31
2,Arizona,        1400,       0.494,      111900,       61290,       87430,      130240,      153540,        1.15
3,Arkansas,         260,       0.217,      109020,       80310,       94250,      134290,      160980,        0.50
4,California,        9510,       0.579,      127310,       69340,       87940,      162630,      197890,        1.35
5,Colorado,        1260,       0.489,       92320,       53780,       69400,      121000,      151940,        1.14
6,Connecticut,         860,       0.556,       96320,       45950,       69940,      119420,      141800,        1.30
7,District of Columbia,         590,       0.858,       99240,       67190,       79860,      131780,      159550,        2.00
8,Florida,        2430,       0.288,       85540,       51600,       59720,      118450,      144390,        0.67
9,Georgia,        2310,       0.536,       85600,       39100,       56010,      113170,      139990,        1.25
10,Hawaii,          50,       0.087,       66410,       35030,       38730,      116970,      150150,        0.20
11,Idaho,          80,       0.105,       93250,       56150,       70530,      112750,      141270,        0.24
12,Illinois,        3290,       0.585,       96500,       56100,       73810,      124740,      154010,        1.36
13,Indiana,        1070,       0.365,       76920,       42880,       56420,      103010,      125760,        0.85
14,Iowa,         720,       0.488,       94230,       65090,       76700,      112470,      132440,        1.14
15,Kansas,         320,       0.237,       84780,       37700,       67140,      106000,      136670,        0.55
16,Kentucky,         600,       0.338,       67010,       39090,       52100,       98420,      131580,        0.79
17,Louisiana,         140,       0.075,       67680,       39370,       52910,       94530,      124460,        0.18
18,Maine,         260,       0.446,       75930,       52030,       59510,       96250,      113120,        1.04
19,Maryland,        1890,       0.749,      106190,       60070,       82480,      132760,      164360,        1.74
20,Massachusetts,        1060,       0.318,      108790,       69130,       82960,      132760,      171460,        0.74
21,Michigan,        1940,       0.494,       74730,       46570,       55500,       96960,      120250,        1.15
22,Minnesota,         950,       0.351,       97170,       65300,       80180,      117730,      138520,        0.82
23,Mississippi,          70,       0.062,       56440,       31200,       31510,       83620,      111260,        0.15
24,Missouri,         970,       0.360,       96730,       56070,       73210,      122430,      163290,        0.84
25,Montana,          40,       0.090,       86060,       47490,       71510,      103290,      119270,        0.21
26,Nebraska,         370,       0.389,       50530,       33940,       41830,       81480,      115690,        0.91
27,Nevada,         160,       0.127,      107170,       68540,       86250,      132860,      175880,        0.30
28,New Hampshire,         140,       0.220,       95870,       65320,       76730,      120920,      140140,        0.51
29,New Jersey,        1770,       0.469,      113050,       68710,       88280,      139620,      171830,        1.09
30,New Mexico,           -,           -,       73910,       35140,       54990,       97010,      109380,           -
31,New York,        3950,       0.454,      118310,       56590,       85020,      158390,      197170,        1.06
32,North Carolina,        2340,       0.546,      109930,       67820,       85210,      143350,      176230,        1.27
33,Ohio,        2390,       0.466,       80680,       48730,       62970,      101950,      128710,        1.09
34,Oklahoma,         870,       0.559,       64880,       42110,       53190,       86940,      108660,        1.30
35,Oregon,         740,       0.408,       82950,       48310,       62280,      108830,      131350,        0.95
36,Pennsylvania,        1940,       0.352,       74510,       42910,       54270,      100990,      130270,        0.82
37,Rhode Island,         250,       0.569,       88650,       40520,       70070,      109730,      134240,        1.32
38,South Carolina,         110,       0.055,       57150,       38130,       40570,      101040,      137710,        0.13
39,South Dakota,          50,       0.131,       76440,       44920,       58230,      101600,      119500,        0.30
40,Tennessee,        1280,       0.440,       78750,       52550,       61410,      108640,      135860,        1.03
41,Texas,        4310,       0.356,      101410,       64380,       83390,      125220,      153660,        0.83
42,Utah,         400,       0.268,       75980,       39910,       52980,      100110,      131020,        0.62
43,Virginia,        2450,       0.661,       92410,       45650,       68500,      126640,      170760,        1.54
44,Washington,        2610,       0.816,      117260,       61120,       85670,      147150,      176650,        1.90
45,West Virginia,         140,       0.220,       63030,       45380,       55540,       91090,      123740,        0.51
46,Wisconsin,         760,       0.280,       81810,       42380,       64450,      100020,      124650,        0.65
