,Geo ID,State,Employment,"Employment per 1,000 Jobs",Annual Median Wage,Annual 10th Percentile Wage,Annual 25th Percentile Wage,Annual 75th Percentile Wage,Annual 90th Percentile Wage,Location Quotient,Total Cost Index,Grocery Cost,Housing Cost,Utilities Cost,Transportation Cost,Miscellaneous Cost,Total w/ Degree,"Computers, Mathematics and Statistics","Biological, Agricultural, and Environmental Sciences",Physical and Related Sciences,Literature and Languages,Liberal Arts and History,Visual and Performing Arts,Communications,All Other
0,0400000US01,Alabama,         210,       0.113,       90590,       56510,       74460,      105650,      121870,        0.26,89.3,97.4,71.5,103.3,88.6,90.8,885357,35624,51733,25051,19816,38296,23607,28095,62325
1,0400000US02,Alaska,         170,       0.561,       74110,       53720,       61780,       90980,      103100,        1.31,129.9,134.2,133.9,154.2,130.8,150.9,146157,5132,14014,8095,6401,8636,4790,3311,11628
2,0400000US04,Arizona,        1400,       0.494,      111900,       61290,       87430,      130240,      153540,        1.15,97.0,96.9,91.7,107.4,109.6,94.7,1492158,68464,92835,44408,51202,61374,55900,56241,93000
3,0400000US05,Arkansas,         260,       0.217,      109020,       80310,       94250,      134290,      160980,        0.50,86.9,92.0,73.9,91.8,83.6,85.6,475367,19902,35631,12201,14045,22599,14528,14656,29757
4,0400000US06,California,        9510,       0.579,      127310,       69340,       87940,      162630,      197890,        1.35,151.7,121.4,227.3,117.7,138.9,114.5,9428484,533563,636542,291237,461068,507152,513369,416285,518193
5,0400000US08,Colorado,        1260,       0.489,       92320,       53780,       69400,      121000,      151940,        1.14,105.6,102.5,119.0,88.4,101.2,102.9,1695602,81960,121643,63542,74799,72658,75553,76994,93470
6,0400000US09,Connecticut,         860,       0.556,       96320,       45950,       69940,      119420,      141800,        1.30,127.7,114.2,144.7,128.1,111.8,113.7,994548,41272,53696,31605,57309,51834,46687,34873,55960
47,0400000US10,Delaware,,,,,,,,,108.1,113.4,98.2,96.5,107.0,101.6,228199,9812,13554,7222,9255,13518,6268,6482,17521
7,0400000US11,District of Columbia,         590,       0.858,       99240,       67190,       79860,      131780,      159550,        2.00,,,,,,,301429,9934,16637,7063,21617,28549,11450,16804,11823
8,0400000US12,Florida,        2430,       0.288,       85540,       51600,       59720,      118450,      144390,        0.67,97.9,104.0,95.4,102.2,96.7,96.9,4753637,191974,243513,126992,154164,189883,152511,173690,283237
9,0400000US13,Georgia,        2310,       0.536,       85600,       39100,       56010,      113170,      139990,        1.25,89.2,96.9,73.8,92.4,97.6,98.5,2301568,124701,128830,54206,75164,94921,81530,96942,140791
10,0400000US15,Hawaii,          50,       0.087,       66410,       35030,       38730,      116970,      150150,        0.20,192.9,169.3,318.6,172.7,148.6,116.8,335209,15040,23754,9490,14693,13770,11211,12025,19634
11,0400000US16,Idaho,          80,       0.105,       93250,       56150,       70530,      112750,      141270,        0.24,92.3,92.2,87.1,82.9,106.7,97.3,336655,10528,32895,11349,14426,13161,11985,11790,23374
12,0400000US17,Illinois,        3290,       0.585,       96500,       56100,       73810,      124740,      154010,        1.36,94.5,94.2,87.2,100.9,100.9,99.0,3108972,156369,180194,88587,122567,139093,132550,148638,172648
13,0400000US18,Indiana,        1070,       0.365,       76920,       42880,       56420,      103010,      125760,        0.85,90.0,93.3,77.3,97.0,93.1,94.3,1212826,49886,72863,37911,34598,69659,34479,44897,78250
14,0400000US19,Iowa,         720,       0.488,       94230,       65090,       76700,      112470,      132440,        1.14,90.1,95.9,79.6,95.3,95.5,97.8,622253,24628,57474,14677,19424,27173,21181,24830,39368
15,0400000US20,Kansas,         320,       0.237,       84780,       37700,       67140,      106000,      136670,        0.55,89.0,91.9,73.8,103.0,92.3,98.9,652489,24336,53124,15364,21826,26136,23081,26925,42280
16,0400000US21,Kentucky,         600,       0.338,       67010,       39090,       52100,       98420,      131580,        0.79,90.9,89.9,77.4,97.6,92.8,89.2,765923,26153,51432,21425,27008,39530,25011,31708,60174
17,0400000US22,Louisiana,         140,       0.075,       67680,       39370,       52910,       94530,      124460,        0.18,93.9,99.9,86.6,89.3,98.5,98.8,784275,24955,52393,25341,22028,59525,22823,24031,48923
18,0400000US23,Maine,         260,       0.446,       75930,       52030,       59510,       96250,      113120,        1.04,117.5,107.0,123.1,116.1,121.4,121.8,328999,8894,28883,8495,23182,19947,17623,11315,19726
19,0400000US24,Maryland,        1890,       0.749,      106190,       60070,       82480,      132760,      164360,        1.74,129.7,108.5,184.5,107.3,116.7,89.2,1710230,117239,119887,58139,80202,81313,64515,63695,96736
20,0400000US25,Massachusetts,        1060,       0.318,      108790,       69130,       82960,      132760,      171460,        0.74,131.6,113.9,170.3,109.7,116.0,117.6,2181743,112032,153508,71662,128650,114489,95188,77026,112872
21,0400000US26,Michigan,        1940,       0.494,       74730,       46570,       55500,       96960,      120250,        1.15,88.9,89.3,75.2,97.3,97.4,93.0,2070795,76136,123429,61215,72960,80733,64460,77595,136808
22,0400000US27,Minnesota,         950,       0.351,       97170,       65300,       80180,      117730,      138520,        0.82,101.6,106.7,88.3,96.8,103.7,108.6,1433226,65522,107878,38694,59231,55395,57302,61426,87269
23,0400000US28,Mississippi,          70,       0.062,       56440,       31200,       31510,       83620,      111260,        0.15,86.1,91.6,70.1,89.1,89.2,91.4,441751,12446,33943,12018,10597,15766,12532,10574,34508
24,0400000US29,Missouri,         970,       0.360,       96730,       56070,       73210,      122430,      163290,        0.84,87.1,96.6,70.6,99.6,87.3,95.7,1271281,52555,92495,33753,35792,58262,45318,55243,81703
25,0400000US30,Montana,          40,       0.090,       86060,       47490,       71510,      103290,      119270,        0.21,106.9,105.1,111.6,83.9,125.0,98.4,249148,6884,33062,9455,8821,11592,8180,6274,15876
26,0400000US31,Nebraska,         370,       0.389,       50530,       33940,       41830,       81480,      115690,        0.91,90.8,95.5,80.9,90.8,94.3,99.9,422587,13928,34367,12511,10460,16541,11689,17360,35153
27,0400000US32,Nevada,         160,       0.127,      107170,       68540,       86250,      132860,      175880,        0.30,108.5,108.3,121.8,89.0,123.5,105.7,548919,19273,29915,19817,18855,20841,20847,21747,40366
28,0400000US33,New Hampshire,         140,       0.220,       95870,       65320,       76730,      120920,      140140,        0.51,109.7,100.4,110.3,119.5,111.4,116.1,368237,18836,24473,10636,18924,18552,13898,13742,19256
29,0400000US34,New Jersey,        1770,       0.469,      113050,       68710,       88280,      139620,      171830,        1.09,125.1,109.5,163.1,101.6,111.1,101.7,2551765,152176,138208,94859,108264,113738,101058,101822,116345
30,0400000US35,New Mexico,           -,           -,       73910,       35140,       54990,       97010,      109380,           -,87.5,100.9,77.7,87.9,91.6,100.1,394598,13901,31403,17509,18009,19901,19950,10548,24762
31,0400000US36,New York,        3950,       0.454,      118310,       56590,       85020,      158390,      197170,        1.06,139.1,114.8,204.4,108.7,116.6,104.8,5166218,240853,261573,148056,292677,282432,339710,222660,249560
32,0400000US37,North Carolina,        2340,       0.546,      109930,       67820,       85210,      143350,      176230,        1.27,94.9,96.6,83.1,97.9,93.4,110.6,2321185,107169,152899,74546,90672,110213,82854,90190,160513
48,0400000US38,North Dakota,,,,,,,,,98.8,108.1,90.3,93.6,104.3,111.7,153397,5289,15838,2466,3027,5288,2731,3981,12103
33,0400000US39,Ohio,        2390,       0.466,       80680,       48730,       62970,      101950,      128710,        1.09,90.8,98.7,73.6,91.8,96.7,97.6,2356585,96692,139443,72732,81047,98607,91199,94016,133277
34,0400000US40,Oklahoma,         870,       0.559,       64880,       42110,       53190,       86940,      108660,        1.30,87.0,95.4,71.9,94.1,89.5,93.2,686509,20349,52325,21219,18459,27390,20795,23205,46370
35,0400000US41,Oregon,         740,       0.408,       82950,       48310,       62280,      108830,      131350,        0.95,134.2,110.3,181.8,88.0,136.7,113.2,1032316,38061,94977,46825,57307,60502,56427,42320,47872
