"GEO_ID","NAME","B15010_001E","B15010_001M","B15010_002E","B15010_002M","B15010_003E","B15010_003M","B15010_004E","B15010_004M","B15010_005E","B15010_005M","B15010_006E","B15010_006M","B15010_007E","B15010_007M","B15010_008E","B15010_008M","B15010_009E","B15010_009M","B15010_010E","B15010_010M","B15010_011E","B15010_011M","B15010_012E","B15010_012M","B15010_013E","B15010_013M","B15010_014E","B15010_014M","B15010_015E","B15010_015M","B15010_016E","B15010_016M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Science and Engineering!!Computers, Mathematics and Statistics","Margin of Error!!Total:!!Science and Engineering!!Computers, Mathematics and Statistics","Estimate!!Total:!!Science and Engineering!!Biological, Agricultural, and Environmental Sciences","Margin of Error!!Total:!!Science and Engineering!!Biological, Agricultural, and Environmental Sciences","Estimate!!Total:!!Science and Engineering!!Physical and Related Sciences","Margin of Error!!Total:!!Science and Engineering!!Physical and Related Sciences","Estimate!!Total:!!Science and Engineering!!Psychology","Margin of Error!!Total:!!Science and Engineering!!Psychology","Estimate!!Total:!!Science and Engineering!!Social Sciences","Margin of Error!!Total:!!Science and Engineering!!Social Sciences","Estimate!!Total:!!Science and Engineering!!Engineering","Margin of Error!!Total:!!Science and Engineering!!Engineering","Estimate!!Total:!!Science and Engineering!!Multidisciplinary Studies","Margin of Error!!Total:!!Science and Engineering!!Multidisciplinary Studies","Estimate!!Total:!!Science and Engineering Related Fields","Margin of Error!!Total:!!Science and Engineering Related Fields","Estimate!!Total:!!Business","Margin of Error!!Total:!!Business","Estimate!!Total:!!Education","Margin of Error!!Total:!!Education","Estimate!!Total:!!Arts, Humanities, and Other!!Literature and Languages","Margin of Error!!Total:!!Arts, Humanities, and Other!!Literature and Languages","Estimate!!Total:!!Arts, Humanities, and Other!!Liberal Arts and History","Margin of Error!!Total:!!Arts, Humanities, and Other!!Liberal Arts and History","Estimate!!Total:!!Arts, Humanities, and Other!!Visual and Performing Arts","Margin of Error!!Total:!!Arts, Humanities, and Other!!Visual and Performing Arts","Estimate!!Total:!!Arts, Humanities, and Other!!Communications","Margin of Error!!Total:!!Arts, Humanities, and Other!!Communications","Estimate!!Total:!!Arts, Humanities, and Other!!Other","Margin of Error!!Total:!!Arts, Humanities, and Other!!Other"
"0400000US01","Alabama","885357","18293","35624","3475","51733","4069","25051","2884","36184","3619","40067","3662","71547","4850","3349","958","98445","6709","210147","8874","141071","5702","19816","2312","38296","3237","23607","2644","28095","3164","62325","4516"
"0400000US02","Alaska","146157","5509","5132","964","14014","1971","8095","1424","6620","1343","10992","1368","10939","1487","1583","609","14226","1588","22507","2413","17283","1834","6401","1364","8636","1368","4790","1051","3311","822","11628","1753"
"0400000US04","Arizona","1492158","15896","68464","4689","92835","4829","44408","3558","71489","4593","95712","5015","127201","5750","12609","1727","151885","6718","312503","8871","197335","6986","51202","4131","61374","4743","55900","4258","56241","4222","93000","4502"
"0400000US05","Arkansas","475367","12017","19902","2363","35631","3262","12201","2192","22060","2658","21788","2566","23550","2939","3871","1058","54503","3882","100020","5305","86256","4203","14045","2182","22599","2579","14528","2372","14656","2183","29757","3216"
"0400000US06","California","9428484","40711","533563","12358","636542","12818","291237","9148","498028","10618","935597","17115","956858","17062","77736","4813","781396","16768","1721094","21553","580366","12058","461068","10279","507152","10516","513369","13413","416285","11195","518193","10578"
"0400000US08","Colorado","1695602","18297","81960","4925","121643","5526","63542","3839","93465","4802","149016","5605","137987","5715","15223","2210","143362","6432","347333","10236","148597","5947","74799","4191","72658","3826","75553","4122","76994","4870","93470","5334"
"0400000US09","Connecticut","994548","12964","41272","3175","53696","3784","31605","3361","52618","4162","97204","4446","78580","4763","6132","1158","88471","5319","196631","7677","101676","4745","57309","3756","51834","3109","46687","3311","34873","2821","55960","4169"
"0400000US10","Delaware","228199","6986","9812","1728","13554","1876","7222","1154","10147","1451","15060","1803","17021","2192","2807","868","23007","2604","46817","3440","29708","2326","9255","1336","13518","1961","6268","1367","6482","1476","17521","2560"
"0400000US11","District of Columbia","301429","5612","9934","1744","16637","1850","7063","1718","13345","1815","79332","3845","13960","1834","5938","1256","15612","2134","39114","2985","10251","1801","21617","2094","28549","3123","11450","2042","16804","2788","11823","2053"
