One occupation for multiple geographical areas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Occupation:Data Scientists and Mathematical Science Occupations, All Other(SOC Code152098)",,,,,,,,,,,,,,,,,
Period:May 2020,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Area Name,Employment(1),Employment percent relative standard error(3),Hourly mean wage,Annual mean wage(2),Wage percent relative standard error(3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage(2),Annual 25th percentile wage(2),Annual median wage(2),Annual 75th percentile wage(2),Annual 90th percentile wage(2),"Employment per 1,000 jobs",Location Quotient
Alabama(0100000),         210,        19.7,       43.10,       89650,         3.2,       27.17,       35.80,       43.55,       50.79,       58.59,       56510,       74460,       90590,      105650,      121870,       0.113,        0.26
Alaska(0200000),         170,        14.5,       36.69,       76310,         2.7,       25.83,       29.70,       35.63,       43.74,       49.57,       53720,       61780,       74110,       90980,      103100,       0.561,        1.31
Arizona(0400000),        1400,        23.1,       52.21,      108590,         2.1,       29.47,       42.03,       53.80,       62.61,       73.82,       61290,       87430,      111900,      130240,      153540,       0.494,        1.15
Arkansas(0500000),         260,         7.0,       54.58,      113530,         2.7,       38.61,       45.31,       52.41,       64.56,       77.40,       80310,       94250,      109020,      134290,      160980,       0.217,        0.50
California(0600000),        9510,         5.7,       62.05,      129060,         3.7,       33.34,       42.28,       61.21,       78.19,       95.14,       69340,       87940,      127310,      162630,      197890,       0.579,        1.35
Colorado(0800000),        1260,         5.4,       47.05,       97860,         2.7,       25.85,       33.37,       44.38,       58.17,       73.05,       53780,       69400,       92320,      121000,      151940,       0.489,        1.14
Connecticut(0900000),         860,        16.0,       45.91,       95480,         4.8,       22.09,       33.63,       46.31,       57.41,       68.17,       45950,       69940,       96320,      119420,      141800,       0.556,        1.30
District of Columbia(1100000),         590,        10.0,       51.06,      106210,         3.5,       32.30,       38.39,       47.71,       63.36,       76.71,       67190,       79860,       99240,      131780,      159550,       0.858,        2.00
Florida(1200000),        2430,        16.6,       44.68,       92930,         2.4,       24.81,       28.71,       41.12,       56.95,       69.42,       51600,       59720,       85540,      118450,      144390,       0.288,        0.67
Georgia(1300000),        2310,         6.1,       41.86,       87060,         3.9,       18.80,       26.93,       41.15,       54.41,       67.30,       39100,       56010,       85600,      113170,      139990,       0.536,        1.25
Hawaii(1500000),          50,         4.4,       37.18,       77340,        17.8,       16.84,       18.62,       31.93,       56.24,       72.19,       35030,       38730,       66410,      116970,      150150,       0.087,        0.20
Idaho(1600000),          80,        44.0,       45.99,       95660,         8.5,       27.00,       33.91,       44.83,       54.21,       67.92,       56150,       70530,       93250,      112750,      141270,       0.105,        0.24
Illinois(1700000),        3290,        10.6,       48.33,      100520,         2.2,       26.97,       35.49,       46.39,       59.97,       74.05,       56100,       73810,       96500,      124740,      154010,       0.585,        1.36
Indiana(1800000),        1070,        25.2,       38.85,       80810,         2.0,       20.61,       27.13,       36.98,       49.52,       60.46,       42880,       56420,       76920,      103010,      125760,       0.365,        0.85
Iowa(1900000),         720,        19.5,       45.93,       95540,         2.0,       31.29,       36.88,       45.30,       54.07,       63.68,       65090,       76700,       94230,      112470,      132440,       0.488,        1.14
Kansas(2000000),         320,        29.8,       41.46,       86240,         4.8,       18.13,       32.28,       40.76,       50.96,       65.71,       37700,       67140,       84780,      106000,      136670,       0.237,        0.55
Kentucky(2100000),         600,        22.9,       36.80,       76550,         2.8,       18.80,       25.05,       32.22,       47.32,       63.26,       39090,       52100,       67010,       98420,      131580,       0.338,        0.79
Louisiana(2200000),         140,        31.8,       35.96,       74800,         3.9,       18.93,       25.44,       32.54,       45.45,       59.84,       39370,       52910,       67680,       94530,      124460,       0.075,        0.18
Maine(2300000),         260,         9.0,       37.66,       78320,         2.6,       25.01,       28.61,       36.50,       46.28,       54.39,       52030,       59510,       75930,       96250,      113120,       0.446,        1.04
Maryland(2400000),        1890,        10.1,       52.39,      108960,         2.7,       28.88,       39.66,       51.05,       63.83,       79.02,       60070,       82480,      106190,      132760,      164360,       0.749,        1.74
Massachusetts(2500000),        1060,         9.3,       55.12,      114660,         3.7,       33.24,       39.89,       52.30,       63.83,       82.43,       69130,       82960,      108790,      132760,      171460,       0.318,        0.74
Michigan(2600000),        1940,         7.0,       38.19,       79440,         4.0,       22.39,       26.68,       35.93,       46.62,       57.81,       46570,       55500,       74730,       96960,      120250,       0.494,        1.15
Minnesota(2700000),         950,        21.1,       47.24,       98260,         1.3,       31.39,       38.55,       46.72,       56.60,       66.59,       65300,       80180,       97170,      117730,      138520,       0.351,        0.82
Mississippi(2800000),          70,        25.1,       29.67,       61710,         7.3,       15.00,       15.15,       27.14,       40.20,       53.49,       31200,       31510,       56440,       83620,      111260,       0.062,        0.15
Missouri(2900000),         970,        17.0,       48.25,      100370,         2.9,       26.96,       35.20,       46.51,       58.86,       78.50,       56070,       73210,       96730,      122430,      163290,       0.360,        0.84
Montana(3000000),          40,        18.4,       40.98,       85240,         3.5,       22.83,       34.38,       41.37,       49.66,       57.34,       47490,       71510,       86060,      103290,      119270,       0.090,        0.21
Nebraska(3100000),         370,        10.8,       30.85,       64170,         5.8,       16.32,       20.11,       24.29,       39.17,       55.62,       33940,       41830,       50530,       81480,      115690,       0.389,        0.91
Nevada(3200000),         160,        44.8,       54.74,      113860,         4.6,       32.95,       41.47,       51.53,       63.88,       84.56,       68540,       86250,      107170,      132860,      175880,       0.127,        0.30
