,State,Region,Total w/ Degree,"Computers, Mathematics and Statistics","Biological, Agricultural, and Environmental Sciences",Physical and Related Sciences,Literature and Languages,Liberal Arts and History,Visual and Performing Arts,Communications,All Other
0,Alabama,South,885357.0,0.12519548615870138,0.18180827771861943,0.08803817998432596,0.06964051632946403,0.13458585049218583,0.08296344716338601,0.09873588546004702,0.21903235669327037
1,Alaska,West,146157.0,0.08276484912993694,0.22600674117438355,0.1305497766381215,0.10323028045220702,0.13927459802925476,0.07724934281613366,0.053397197090651057,0.18752721466931152
2,Arizona,West,1492158.0,0.13080026899798253,0.17736099223574006,0.08484135232622118,0.09782126918139022,0.11725484502048053,0.10679678425139084,0.10744826374029467,0.17767622424649998
3,Arkansas,South,475367.0,0.1218596733999106,0.21816812495790447,0.07470655588143449,0.08599734262394455,0.13837336745877699,0.08895474500823541,0.08973848725500401,0.18220170341478947
4,California,West,9428484.0,0.1376081295524924,0.16416684440563273,0.0751112405216989,0.11891136581155096,0.13079662217733543,0.13240001248256245,0.10736164278774821,0.13364414226097893
5,Colorado,West,1695602.0,0.12406545981874575,0.18413487955992788,0.0961855471913463,0.11322562626869648,0.10998472644595447,0.11436698005961075,0.11654826760962067,0.14148851304609766
6,Connecticut,Northeast,994548.0,0.11057882948054314,0.14386607937069307,0.08467832684950005,0.15354628170915988,0.1388772787190946,0.125087076273457,0.09343418105434631,0.1499319465432059
7,Delaware,South,228199.0,0.11732351253108858,0.1620671513296346,0.08635450545245839,0.11066338243734455,0.1616366940883872,0.0749473885594031,0.07750621771570691,0.20950114788597665
8,District of Columbia,South,301429.0,0.08019244896146985,0.1343025743277606,0.05701623384486224,0.17450374161466617,0.23046247487427043,0.09243039466567644,0.13565068576087572,0.09544144595041856
9,Florida,South,4753637.0,0.12663493328337613,0.16063244245905575,0.08376979928283257,0.10169370776614749,0.12525561293012236,0.10060331247971588,0.11457396085922884,0.18683623093952098
10,Georgia,South,2301568.0,0.15644630121003406,0.1616264262907971,0.0680052942910731,0.0942986005256654,0.11908516657571025,0.10228520170370789,0.12162065526261315,0.17663235414039907
11,Hawaii,West,335209.0,0.1257346363811164,0.19858381333756908,0.0793365491527124,0.12283371092737655,0.11511741642074287,0.09372413620137605,0.10052918899487531,0.16414054858423133
12,Idaho,West,336655.0,0.08129227538067146,0.25399975291101706,0.08763165209871204,0.1113908021126108,0.10162306575655558,0.09254254563424653,0.09103684714457794,0.18048305896160854
13,Illinois,Midwest,3108972.0,0.13708810621349657,0.15797539289139664,0.07766388520189436,0.10745402166842298,0.12194230287047866,0.11620607971272419,0.13031036798445794,0.1513598434571287
14,Indiana,Midwest,1212826.0,0.1180613570689847,0.17243925470307164,0.08972104614204945,0.08188042400418419,0.16485659447677514,0.08159879586219627,0.10625427471286945,0.18518825302986916
15,Iowa,Midwest,622253.0,0.10766103473148128,0.2512469672794037,0.0641603462219405,0.08491180520644358,0.11878647461257677,0.09259251163908985,0.10854407553933247,0.1720967847697318
16,Kansas,Midwest,652489.0,0.10441408663417313,0.22792956682913434,0.0659195441751905,0.09364488226814031,0.11213702203610901,0.09902948445115672,0.11552224205395757,0.1814031715521384
17,Kentucky,South,765923.0,0.09259632985296044,0.18209820812134217,0.07585655057162381,0.09562351075091789,0.13995843379679296,0.08855300753077634,0.11226415428354948,0.21304980509203691
18,Louisiana,South,784275.0,0.08911895264249926,0.18710516072123679,0.09049743053149965,0.07866609051528646,0.21257486099157558,0.08150518357682872,0.08581917655587656,0.174713144465197
19,Maine,Northeast,328999.0,0.06441893311121573,0.20919856589287655,0.061528989968493104,0.16790642088871183,0.14447542824032159,0.1276427769528845,0.08195415202984102,0.14287473291565567
20,Maryland,South,1710230.0,0.17197378418895568,0.1758580426740362,0.08528206346831425,0.11764550567236691,0.11927519267271602,0.0946347946242332,0.09343196533504664,0.14189865136433114
21,Massachusetts,Northeast,2181743.0,0.12945285968660558,0.17737833462556635,0.08280536659937811,0.1486549414335351,0.1322919206357093,0.1099896351743128,0.08900346303038846,0.13042347881450428
22,Michigan,Midwest,2070795.0,0.10981111611109189,0.17802191145418672,0.08829052580566998,0.10523036449859809,0.11644137907161896,0.0929707962661682,0.11191543494063484,0.19731847185203133
23,Minnesota,Midwest,1433226.0,0.12299588712205542,0.20250527015282035,0.07263518904033474,0.11118661503199635,0.10398579358270901,0.10756555544501115,0.11530700165378616,0.16381868797128682
24,Mississippi,South,441751.0,0.08741150691088886,0.23839054949994382,0.08440555118552646,0.07442549724688168,0.11072873356556917,0.08801550736037757,0.07426396224294865,0.2423586919878638
25,Missouri,Midwest,1271281.0,0.11547478582618688,0.20323166806190002,0.07416269519534366,0.07864282245820342,0.12801430828285226,0.09957352000896465,0.12138090749492993,0.1795192926716192
26,Montana,West,249148.0,0.06874101294136443,0.3301445917878255,0.09441404377696118,0.0880831602492411,0.11575331522607445,0.08168237737657773,0.06264978431059275,0.15853171433136284
27,Nebraska,Midwest,422587.0,0.09162615371458269,0.22608529758106427,0.08230433724318954,0.0688117150958167,0.10881592537283977,0.07689676269168273,0.11420376425080093,0.23125604405002334
28,Nevada,West,548919.0,0.10055775562060096,0.15608287549371025,0.1033961004064468,0.09837682157559441,0.10873886706215662,0.10877017233552992,0.11346596334152488,0.21061144416443617
29,New Hampshire,Northeast,368237.0,0.13617993449829016,0.17693414403146396,0.07689582625418423,0.1368161541965196,0.13412668001764064,0.1004793337044615,0.09935148969396386,0.13921643760347607
30,New Jersey,Northeast,2551765.0,0.16425356460543786,0.14917698360443404,0.10238755707146481,0.11685645514695565,0.12276490334279577,0.10907854544669553,0.1099031808909085,0.12557880989130787
