,State,Employment,"Employment per 1,000 Jobs",Annual Median Wage,Annual 10th Percentile Wage,Annual 25th Percentile Wage,Annual 75th Percentile Wage,Annual 90th Percentile Wage,Total Cost Index,Grocery Cost,Housing Cost,Utilities Cost,Transportation Cost,Miscellaneous Cost
0,Alabama,         210,       0.113,       90590,       56510,       74460,      105650,      121870,89.3,97.4,71.5,103.3,88.6,90.8
1,Alaska,         170,       0.561,       74110,       53720,       61780,       90980,      103100,129.9,134.2,133.9,154.2,130.8,150.9
2,Arizona,        1400,       0.494,      111900,       61290,       87430,      130240,      153540,97.0,96.9,91.7,107.4,109.6,94.7
3,Arkansas,         260,       0.217,      109020,       80310,       94250,      134290,      160980,86.9,92.0,73.9,91.8,83.6,85.6
4,California,        9510,       0.579,      127310,       69340,       87940,      162630,      197890,151.7,121.4,227.3,117.7,138.9,114.5
5,Colorado,        1260,       0.489,       92320,       53780,       69400,      121000,      151940,105.6,102.5,119.0,88.4,101.2,102.9
6,Connecticut,         860,       0.556,       96320,       45950,       69940,      119420,      141800,127.7,114.2,144.7,128.1,111.8,113.7
7,District of Columbia,         590,       0.858,       99240,       67190,       79860,      131780,      159550,,,,,,
8,Florida,        2430,       0.288,       85540,       51600,       59720,      118450,      144390,97.9,104.0,95.4,102.2,96.7,96.9
9,Georgia,        2310,       0.536,       85600,       39100,       56010,      113170,      139990,89.2,96.9,73.8,92.4,97.6,98.5
10,Hawaii,          50,       0.087,       66410,       35030,       38730,      116970,      150150,192.9,169.3,318.6,172.7,148.6,116.8
11,Idaho,          80,       0.105,       93250,       56150,       70530,      112750,      141270,92.3,92.2,87.1,82.9,106.7,97.3
12,Illinois,        3290,       0.585,       96500,       56100,       73810,      124740,      154010,94.5,94.2,87.2,100.9,100.9,99.0
13,Indiana,        1070,       0.365,       76920,       42880,       56420,      103010,      125760,90.0,93.3,77.3,97.0,93.1,94.3
14,Iowa,         720,       0.488,       94230,       65090,       76700,      112470,      132440,90.1,95.9,79.6,95.3,95.5,97.8
15,Kansas,         320,       0.237,       84780,       37700,       67140,      106000,      136670,89.0,91.9,73.8,103.0,92.3,98.9
16,Kentucky,         600,       0.338,       67010,       39090,       52100,       98420,      131580,90.9,89.9,77.4,97.6,92.8,89.2
17,Louisiana,         140,       0.075,       67680,       39370,       52910,       94530,      124460,93.9,99.9,86.6,89.3,98.5,98.8
18,Maine,         260,       0.446,       75930,       52030,       59510,       96250,      113120,117.5,107.0,123.1,116.1,121.4,121.8
19,Maryland,        1890,       0.749,      106190,       60070,       82480,      132760,      164360,129.7,108.5,184.5,107.3,116.7,89.2
20,Massachusetts,        1060,       0.318,      108790,       69130,       82960,      132760,      171460,131.6,113.9,170.3,109.7,116.0,117.6
21,Michigan,        1940,       0.494,       74730,       46570,       55500,       96960,      120250,88.9,89.3,75.2,97.3,97.4,93.0
22,Minnesota,         950,       0.351,       97170,       65300,       80180,      117730,      138520,101.6,106.7,88.3,96.8,103.7,108.6
23,Mississippi,          70,       0.062,       56440,       31200,       31510,       83620,      111260,86.1,91.6,70.1,89.1,89.2,91.4
24,Missouri,         970,       0.360,       96730,       56070,       73210,      122430,      163290,87.1,96.6,70.6,99.6,87.3,95.7
25,Montana,          40,       0.090,       86060,       47490,       71510,      103290,      119270,106.9,105.1,111.6,83.9,125.0,98.4
26,Nebraska,         370,       0.389,       50530,       33940,       41830,       81480,      115690,90.8,95.5,80.9,90.8,94.3,99.9
27,Nevada,         160,       0.127,      107170,       68540,       86250,      132860,      175880,108.5,108.3,121.8,89.0,123.5,105.7
