,Occupation (SOC Code),Employment,Annual Median Wage,Annual 10th Percentile Wage,Annual 25th Percentile Wage,Annual 75th Percentile Wage,Annual 90th Percentile Wage
0,"Cross-industry, Private, Federal, State, and Local Government(000000)",       59680,       98230,       52950,       71790,      130370,      165230
1,"Cross-industry, Private Ownership Only(000001)",       54970,      101340,       55110,       74480,      132960,      167190
2,Sector 21 - Mining(21--22),         190,       99110,       59140,       75140,      122940,      144480
3,Oil and Gas Extraction(211000),         190,       99120,       58980,       74980,      122780,      144860
4,Oil and Gas Extraction(211100),         190,       99120,       58980,       74980,      122780,      144860
5,"Electric Power Generation, Transmission and Distribution(221100)",           -,       82950,       53690,       65850,      116480,      141920
6,Fossil Fuel Electric Power Generation(221112),          30,       94460,       57620,       64030,      130880,      152450
7,Natural Gas Distribution(221200),          40,      102070,       68440,       81030,      135190,      163650
8,Sector 23 - Construction(23--24),          50,       86690,       58890,       69660,      103780,      126220
9,Specialty Trade Contractors(238000),          30,       84730,       58460,       67940,       98740,      113040
10,"Sectors 31, 32, and 33 - Manufacturing(31--34)",           -,      110460,       59910,       79980,      142810,      175360
11,Food Manufacturing(311000),          30,       85400,       54870,       69920,      123660,      143100
12,Chemical Manufacturing(325000),         880,      106670,       52980,       76610,      130250,      160770
13,"Chemical Manufacturing (3251, 3252, 3253, and 3259 only)(3250A1)",          80,       91990,       58240,       71540,      113310,      139710
14,Pharmaceutical and Medicine Manufacturing(325400),         800,      108530,       51740,       77450,      131430,      162090
15,Fabricated Metal Product Manufacturing(332000),          40,       85700,       52680,       69530,      109980,      150780
16,Machinery Manufacturing(333000),         150,       88480,       59080,       68630,      110270,      133630
17,"Machinery Manufacturing (3331, 3332, 3334, and 3339 only)(3330A1)",          30,       94290,       58770,       73340,      111520,      128790
18,"Engine, Turbine, and Power Transmission Equipment Manufacturing(333600)",         100,       83650,       59060,       67480,      104470,      132210
19,Computer and Electronic Product Manufacturing(334000),           -,      140020,       83320,      106260,      170270,      194640
20,Computer and Peripheral Equipment Manufacturing(334100),           -,      149650,       85800,      108930,      175150,      202500
21,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing(334500)",          80,      118470,       68960,       90050,      143640,      178130
22,Manufacturing and Reproducing Magnetic and Optical Media(334600),          40,           -,           -,           -,           -,           -
23,"Electrical Equipment, Appliance, and Component Manufacturing(335000)",          40,       84910,       55870,       62750,      116210,      142130
24,Transportation Equipment Manufacturing(336000),         430,      106720,       59280,       76960,      133280,      164200
25,Motor Vehicle Manufacturing(336100),         110,       64250,       54070,       57890,       99720,      127540
26,Aerospace Product and Parts Manufacturing(336400),         300,      117310,       79040,       95800,      140860,      173700
27,Miscellaneous Manufacturing(339000),         150,       86880,       52180,       65650,      115970,      140200
28,Medical Equipment and Supplies Manufacturing(339100),         140,       87810,       52620,       65790,      116610,      140790
29,Sector 42 - Wholesale Trade(42--43),        1670,      102240,       56590,       74950,      133670,      166410
30,"Merchant Wholesalers, Durable Goods(423000)",        1180,      106090,       58240,       78580,      136770,      172730
31,"Merchant Wholesalers, Durable Goods (4232, 4233, 4235, 4236, 4237, and 4239 only)(4230A1)",         340,      124120,       70010,       92470,      163440,           -
32,Professional and Commercial Equipment and Supplies Merchant Wholesalers(423400),         750,      103400,       56810,       77950,      128970,      158180
33,"Machinery, Equipment, and Supplies Merchant Wholesalers(423800)",          90,       64350,       53220,       57380,      100240,      132680
34,"Merchant Wholesalers, Nondurable Goods(424000)",         370,       96490,       54130,       73120,      127030,      160440
35,"Merchant Wholesalers, Nondurable Goods (4244 and 4248 only)(4240A1)",         100,       81830,       46720,       63410,      101770,      137740
36,"Merchant Wholesalers, Nondurable Goods (4242 and 4246 only)(4240A2)",         200,      110400,       57410,       83900,      140550,      171230
37,"Merchant Wholesalers, Nondurable Goods (4241, 4247, and 4249 only)(4240A3)",          50,       90080,       59470,       72230,      110070,      140250
38,Wholesale Electronic Markets and Agents and Brokers(425000),         130,       82180,       47060,       61090,      118840,      150360
39,Wholesale Electronic Markets and Agents and Brokers(425100),         130,       82180,       47060,       61090,      118840,      150360
40,Sectors 44 and 45 - Retail Trade(44--46),           -,      115730,       60070,       88240,      144790,      179010
41,Nonstore Retailers(454000),         850,      119500,       73310,       94130,      147760,      180540
42,Electronic Shopping and Mail-Order Houses(454100),         830,      120010,       73920,       94850,      148580,      181080
43,Sectors 48 and 49 - Transportation and Warehousing(48--50),         340,       86140,       53830,       68200,      115160,      147600
44,Air Transportation(481000),          50,       73000,       46310,       55530,      104630,      144850
45,Truck Transportation(484000),          70,       87500,       47360,       68910,      114140,      142090
46,Support Activities for Transportation(488000),         130,       82830,       54470,       66840,      125610,      159410
47,Freight Transportation Arrangement(488500),         100,       80640,       54400,       67200,      113480,      157930
48,Warehousing and Storage(493000),          30,       86130,       67130,       74230,      100330,      117260
49,Warehousing and Storage(493100),          30,       86130,       67130,       74230,      100330,      117260
50,Sector 51 - Information(51--52),        4960,      110420,       50670,       77490,      145080,      181580
51,Publishing Industries (except Internet)(511000),        1410,      112040,       57940,       79990,      141200,      171890
52,"Newspaper, Periodical, Book, and Directory Publishers(511100)",         110,       88700,       47620,       68430,      122790,      162840
53,Software Publishers(511200),        1300,      114010,       59480,       81610,      142180,      172580
54,Broadcasting (except Internet)(515000),         260,       67310,       35690,       40820,      111270,      151960
55,Cable and Other Subscription Programming(515200),         260,       67030,       35640,       40710,      109620,      152410
56,Telecommunications(517000),         410,       94770,       56820,       69590,      125900,      155670
57,"Data Processing, Hosting, and Related Services(518000)",         720,      101330,       62590,       83810,      133560,      162800
58,"Data Processing, Hosting, and Related Services(518200)",         720,      101330,       62590,       83810,      133560,      162800
59,Other Information Services(519000),        2130,      122160,       44810,       83420,      160030,      199430
