,State,Total Cost Index,Grocery Cost,Housing Cost,Utilities Cost,Transportation Cost,Miscellaneous Cost
0,Mississippi,86.1,91.6,70.1,89.1,89.2,91.4
1,Arkansas,86.9,92.0,73.9,91.8,83.6,85.6
2,Oklahoma,87.0,95.4,71.9,94.1,89.5,93.2
3,Missouri,87.1,96.6,70.6,99.6,87.3,95.7
4,New Mexico,87.5,100.9,77.7,87.9,91.6,100.1
5,Tennessee,88.7,93.3,80.2,93.4,89.7,88.5
6,Michigan,88.9,89.3,75.2,97.3,97.4,93.0
7,Kansas,89.0,91.9,73.8,103.0,92.3,98.9
8,Georgia,89.2,96.9,73.8,92.4,97.6,98.5
9,Wyoming,89.3,98.7,72.3,87.3,99.3,94.9
10,Alabama,89.3,97.4,71.5,103.3,88.6,90.8
11,Indiana,90.0,93.3,77.3,97.0,93.1,94.3
12,Iowa,90.1,95.9,79.6,95.3,95.5,97.8
13,Ohio,90.8,98.7,73.6,91.8,96.7,97.6
14,Nebraska,90.8,95.5,80.9,90.8,94.3,99.9
15,Kentucky,90.9,89.9,77.4,97.6,92.8,89.2
16,West Virginia,91.1,92.9,79.6,89.0,93.5,89.1
17,Texas,91.5,88.9,85.3,102.3,91.4,96.2
18,Idaho,92.3,92.2,87.1,82.9,106.7,97.3
19,Louisiana,93.9,99.9,86.6,89.3,98.5,98.8
20,Illinois,94.5,94.2,87.2,100.9,100.9,99.0
21,North Carolina,94.9,96.6,83.1,97.9,93.4,110.6
22,South Carolina,95.9,101.9,85.1,107.6,88.0,94.2
23,Arizona,97.0,96.9,91.7,107.4,109.6,94.7
24,Wisconsin,97.3,100.7,91.4,98.9,98.1,115.2
25,Florida,97.9,104.0,95.4,102.2,96.7,96.9
26,Utah,98.4,98.5,93.6,89.4,108.6,96.0
27,North Dakota,98.8,108.1,90.3,93.6,104.3,111.7
28,South Dakota,99.8,107.0,109.8,91.8,89.8,103.0
29,Virginia,100.7,96.1,108.0,99.2,88.1,97.2
30,Minnesota,101.6,106.7,88.3,96.8,103.7,108.6
31,Pennsylvania,101.7,106.9,100.8,106.0,109.5,91.9
32,Colorado,105.6,102.5,119.0,88.4,101.2,102.9
33,Montana,106.9,105.1,111.6,83.9,125.0,98.4
34,Delaware,108.1,113.4,98.2,96.5,107.0,101.6
35,Nevada,108.5,108.3,121.8,89.0,123.5,105.7
36,New Hampshire,109.7,100.4,110.3,119.5,111.4,116.1
37,Washington,110.7,107.8,117.8,88.7,121.7,118.9
38,Vermont,114.5,111.3,126.7,120.2,119.9,101.2
39,Maine,117.5,107.0,123.1,116.1,121.4,121.8
40,Rhode Island,119.4,106.2,129.4,123.5,124.0,109.3
41,New Jersey,125.1,109.5,163.1,101.6,111.1,101.7
42,Connecticut,127.7,114.2,144.7,128.1,111.8,113.7
43,Maryland,129.7,108.5,184.5,107.3,116.7,89.2
44,Alaska,129.9,134.2,133.9,154.2,130.8,150.9
45,Massachusetts,131.6,113.9,170.3,109.7,116.0,117.6
46,Oregon,134.2,110.3,181.8,88.0,136.7,113.2
47,New York,139.1,114.8,204.4,108.7,116.6,104.8
48,California,151.7,121.4,227.3,117.7,138.9,114.5
49,Hawaii,192.9,169.3,318.6,172.7,148.6,116.8
